City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Podgornoye,RU,51.735,39.1496,16.02,92,100,4.47,overcast clouds
1,New Norfolk,AU,-42.7826,147.0587,71.1,44,76,9.37,light rain
2,Mpanda,TZ,-6.3655,31.0409,63.72,96,100,1.19,overcast clouds
3,Nishihara,JP,26.1842,127.7558,71.26,53,40,16.11,scattered clouds
4,Nikolskoye,RU,59.7035,30.7861,26.49,89,100,13.76,overcast clouds
5,Arraial Do Cabo,BR,-22.9661,-42.0278,76.57,89,100,23.8,overcast clouds
6,Lebu,CL,-37.6167,-73.65,58.15,72,0,19.17,clear sky
7,Novikovo,RU,51.1537,37.8879,1.2,100,92,4.29,overcast clouds
8,Alcantara,BR,-2.4089,-44.4147,77.2,91,100,5.68,heavy intensity rain
9,Kapaa,US,22.0752,-159.319,76.98,82,20,4.61,few clouds
10,Billings,US,45.7833,-108.5007,35.37,51,20,5.75,few clouds
11,Ahipara,NZ,-35.1667,173.1667,70.27,65,45,5.28,scattered clouds
12,Mataura,NZ,-46.1927,168.8643,78.49,35,55,2.55,broken clouds
13,Saint Anthony,US,45.0205,-93.218,27.66,76,13,5.01,few clouds
14,Rikitea,PF,-23.1203,-134.9692,79.97,75,11,14.54,light rain
15,Macapa,BR,0.0389,-51.0664,76.98,94,0,3.44,clear sky
16,Yumen,CN,40.2833,97.2,20.88,46,0,9.73,clear sky
17,Vaini,TO,-21.2,-175.2,84.36,84,75,10.36,moderate rain
18,Akureyri,IS,65.6835,-18.0878,30.13,69,75,3.44,broken clouds
19,Manado,ID,1.487,124.8455,88.57,58,20,5.75,few clouds
20,Saldanha,ZA,-33.0117,17.9442,62.65,86,0,14.76,clear sky
21,Kaitangata,NZ,-46.2817,169.8464,69.39,56,13,9.4,few clouds
22,Carnarvon,AU,-24.8667,113.6333,84.7,44,0,16.06,clear sky
23,Kindu,CD,-2.95,25.95,70.23,83,100,0.51,overcast clouds
24,Port Alfred,ZA,-33.5906,26.891,71.69,90,99,2.26,moderate rain
25,Albany,US,42.6001,-73.9662,27.03,68,52,4.0,broken clouds
26,Presidente Epitacio,BR,-21.7633,-52.1156,69.49,90,55,5.3,broken clouds
27,Lithakia,GR,37.7167,20.8333,42.17,73,77,9.51,broken clouds
28,Ponta Delgada,PT,37.7333,-25.6667,56.12,88,20,3.44,few clouds
29,Saskylakh,RU,71.9167,114.0833,-33.36,100,99,2.98,overcast clouds
30,Novoagansk,RU,61.9449,76.6625,3.92,96,100,5.82,overcast clouds
31,Busselton,AU,-33.65,115.3333,76.53,47,0,1.77,clear sky
32,Gunnedah,AU,-30.9833,150.25,94.21,23,0,7.72,clear sky
33,Katherine,AU,-14.4667,132.2667,89.92,62,75,9.22,broken clouds
34,Kodinsk,RU,58.6881,99.1844,13.84,87,76,10.04,broken clouds
35,Mumford,GH,5.2618,-0.759,77.22,80,42,4.43,scattered clouds
36,Bengkulu,ID,-3.8004,102.2655,81.63,69,96,2.01,overcast clouds
37,Cape Town,ZA,-33.9258,18.4232,67.37,69,0,13.0,clear sky
38,Jalu,LY,29.0331,21.5482,51.12,47,92,7.43,overcast clouds
39,Pringsewu,ID,-5.3582,104.9744,79.97,81,79,2.84,broken clouds
40,Westport,US,41.1415,-73.3579,36.32,64,100,18.41,overcast clouds
41,Ushuaia,AR,-54.8,-68.3,47.86,71,75,19.57,broken clouds
42,Barrow,US,71.2906,-156.7887,-18.38,69,0,5.75,haze
43,Bethel,US,41.3712,-73.414,34.16,66,100,5.99,overcast clouds
44,Poum,NC,-20.2333,164.0167,78.84,68,31,13.51,scattered clouds
45,Dingli,MT,35.8614,14.3822,46.56,87,100,4.61,overcast clouds
46,Carbonear,CA,47.7332,-53.2148,33.75,89,100,11.39,snow
47,Husavik,IS,66.0449,-17.3389,24.24,81,89,4.72,light snow
48,Olinda,BR,-8.0089,-34.8553,82.13,74,40,5.75,scattered clouds
49,Grindavik,IS,63.8424,-22.4338,31.95,74,40,8.05,scattered clouds
50,Hobart,AU,-42.8794,147.3294,71.46,53,75,16.11,light rain
51,Mar Del Plata,AR,-38.0023,-57.5575,57.94,70,20,8.01,few clouds
52,Jundiai,BR,-23.1864,-46.8842,74.95,95,100,3.8,overcast clouds
53,Clyde River,CA,70.4692,-68.5914,-28.97,68,100,4.61,overcast clouds
54,Ribeira Grande,PT,38.5167,-28.7,60.78,78,97,10.0,overcast clouds
55,Cockburn Town,TC,21.4612,-71.1419,77.43,73,33,21.65,scattered clouds
56,Kodiak,US,57.79,-152.4072,36.27,76,100,7.58,overcast clouds
57,Nyandoma,RU,61.669,40.1991,15.62,93,100,10.65,overcast clouds
58,Atuona,PF,-9.8,-139.0333,79.52,80,81,20.92,broken clouds
59,East London,ZA,-33.0153,27.9116,71.67,92,100,9.17,light rain
60,Avarua,CK,-21.2078,-159.775,86.05,70,40,8.05,light rain
61,Muros,ES,42.7762,-9.0603,47.84,89,0,6.17,clear sky
62,Hasaki,JP,35.7333,140.8333,55.29,44,0,2.75,clear sky
63,Maceio,BR,-9.6658,-35.7353,74.64,88,20,3.44,few clouds
64,Lagoa,PT,39.05,-27.9833,59.07,76,100,10.83,overcast clouds
65,Qunduz,AF,36.729,68.857,48.34,88,100,3.62,light rain
66,Omboue,GA,-1.5746,9.2618,77.97,89,96,4.25,overcast clouds
67,Tsabong,BW,-26.0217,22.401,69.91,71,14,5.68,few clouds
68,Mirador,BR,-6.3708,-44.3631,73.74,93,100,0.74,overcast clouds
69,Acarau,BR,-2.8856,-40.12,76.6,90,97,8.63,overcast clouds
70,Itarema,BR,-2.9248,-39.9167,76.35,91,97,8.77,overcast clouds
71,Ugep,NG,5.8086,8.0812,72.32,24,6,4.05,clear sky
72,Cherskiy,RU,68.75,161.3,-37.55,95,100,1.23,overcast clouds
73,Hoquiam,US,46.9809,-123.8893,44.96,83,99,4.68,overcast clouds
74,Hithadhoo,MV,-0.6,73.0833,81.3,74,77,11.25,broken clouds
75,Turukhansk,RU,65.8167,87.9833,3.56,95,100,6.33,overcast clouds
76,Mahebourg,MU,-20.4081,57.7,73.26,88,20,3.44,few clouds
77,Nerja,ES,36.7585,-3.8873,62.49,100,100,10.92,overcast clouds
78,Hermanus,ZA,-34.4187,19.2345,61.81,79,48,9.42,scattered clouds
79,Avera,US,33.194,-82.5271,42.85,55,55,15.79,broken clouds
80,Bredasdorp,ZA,-34.5322,20.0403,65.53,72,92,6.69,overcast clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,80.55,91,49,1.99,scattered clouds
82,Kashi,CN,39.4547,75.9797,36.61,55,75,2.24,broken clouds
83,Shingu,JP,33.7333,135.9833,58.71,56,8,5.01,clear sky
84,Ponta Do Sol,PT,32.6667,-17.1,61.72,77,30,5.55,scattered clouds
85,Abha,SA,18.2164,42.5053,49.82,53,20,0.0,few clouds
86,Masuda,JP,34.6667,131.85,53.87,82,75,14.97,broken clouds
87,Orzhytsya,UA,49.7918,32.7012,31.51,93,100,12.62,light snow
88,Tilichiki,RU,60.4667,166.1,-11.04,83,98,9.69,overcast clouds
89,Kiunga,PG,-6.1219,141.2906,91.8,52,64,4.0,broken clouds
90,Aklavik,CA,68.2191,-135.0107,-21.33,95,7,10.16,clear sky
91,Atar,MR,20.5169,-13.0499,68.36,29,0,9.69,clear sky
92,Carnot,CF,4.9409,15.8665,65.25,31,25,2.57,scattered clouds
93,Bathsheba,BB,13.2167,-59.5167,77.61,69,20,17.27,few clouds
94,Airai,TL,-8.9266,125.4092,73.53,56,49,1.95,scattered clouds
95,Faanui,PF,-16.4833,-151.75,79.57,72,100,3.49,moderate rain
96,Port Elizabeth,ZA,-33.918,25.5701,67.1,94,100,15.21,light rain
97,Lavrentiya,RU,65.5833,-171.0,-11.96,89,100,14.18,overcast clouds
98,Thompson,CA,55.7435,-97.8558,-12.84,77,20,4.61,few clouds
99,Guerrero Negro,MX,27.9769,-114.0611,60.62,32,100,6.42,overcast clouds
100,Georgetown,MY,5.4112,100.3354,84.13,81,20,11.5,few clouds
101,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,58,9.08,broken clouds
102,Punta Arenas,CL,-53.15,-70.9167,50.11,57,40,9.22,scattered clouds
103,Plouzane,FR,48.3833,-4.6167,50.32,93,100,11.5,overcast clouds
104,Ibra,OM,22.6906,58.5334,66.61,26,6,2.28,clear sky
105,Bilma,NE,18.6853,12.9164,59.4,23,50,6.38,scattered clouds
106,Apac,UG,1.9756,32.5386,73.47,35,99,5.21,overcast clouds
107,Mount Gambier,AU,-37.8333,140.7667,72.75,44,0,9.44,clear sky
108,Makakilo City,US,21.3469,-158.0858,70.12,89,100,3.44,light intensity drizzle
109,Hilo,US,19.7297,-155.09,74.28,96,100,8.99,moderate rain
110,Krasnogorskoye,RU,52.2953,86.1979,-4.49,98,31,4.21,scattered clouds
111,Lompoc,US,34.6391,-120.4579,55.02,67,100,13.0,overcast clouds
112,Kruisfontein,ZA,-34.0033,24.7314,64.89,92,100,8.55,light rain
113,Upernavik,GL,72.7868,-56.1549,-21.93,93,83,11.03,broken clouds
114,Qianan,CN,44.9932,124.0581,17.82,51,3,6.29,clear sky
115,Yar-Sale,RU,66.8333,70.8333,5.36,87,100,8.72,overcast clouds
116,Tondano,ID,1.3038,124.9112,80.69,70,56,2.95,broken clouds
117,Dwarka,IN,22.2394,68.9678,70.9,76,0,9.69,clear sky
118,Century Village,US,26.7139,-80.1289,76.01,83,75,9.22,broken clouds
119,Castro,BR,-24.7911,-50.0119,63.48,95,98,3.67,overcast clouds
120,Khatanga,RU,71.9667,102.5,-16.67,99,100,6.26,overcast clouds
121,Qaanaaq,GL,77.484,-69.3632,-14.78,73,51,7.94,broken clouds
122,Oranjemund,NA,-28.55,16.4333,64.38,90,100,8.66,overcast clouds
123,Kudahuvadhoo,MV,2.6708,72.8944,79.99,74,50,9.86,scattered clouds
124,Codrington,AU,-38.2667,141.9667,70.45,52,2,13.04,clear sky
125,Pevek,RU,69.7008,170.3133,-39.84,95,100,1.61,overcast clouds
126,Provideniya,RU,64.3833,-173.3,3.36,60,100,21.99,overcast clouds
127,Abnub,EG,27.2696,31.1511,48.42,67,5,8.72,clear sky
128,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,12.79,48,0,2.24,clear sky
129,Ambilobe,MG,-13.2,49.05,73.87,95,53,1.03,broken clouds
130,Gushikawa,JP,26.3544,127.8686,71.19,56,0,10.36,clear sky
131,Domoni,KM,-12.2569,44.5319,79.14,86,98,5.5,overcast clouds
132,San Patricio,US,28.017,-97.5169,53.83,44,16,8.41,few clouds
133,Inhambane,MZ,-23.865,35.3833,77.92,83,100,9.17,overcast clouds
134,Alyangula,AU,-13.8483,136.4192,84.22,76,100,11.39,overcast clouds
135,Lugovoy,KZ,42.9472,72.7644,31.1,99,100,2.8,light snow
136,Bereda,ES,43.2686,-7.5406,45.14,100,0,0.92,clear sky
137,Coquimbo,CL,-29.9533,-71.3436,65.93,82,0,2.3,clear sky
138,Tiksi,RU,71.6872,128.8694,-17.43,100,99,2.19,overcast clouds
139,Jamestown,US,42.097,-79.2353,20.55,91,100,16.11,overcast clouds
140,Zhangjiakou,CN,40.81,114.8794,26.65,93,100,1.1,snow
141,Leirvik,NO,59.7798,5.5005,39.63,71,91,20.67,overcast clouds
142,Puerto Carreno,CO,6.189,-67.4859,81.66,37,62,13.94,broken clouds
143,Saint George,US,37.1041,-113.5841,44.94,36,0,10.36,clear sky
144,Morgan City,US,29.6994,-91.2068,44.6,57,0,17.27,clear sky
145,Abu Dhabi,AE,24.4667,54.3667,71.94,73,0,8.05,clear sky
146,San Onofre,CO,9.7359,-75.5263,77.9,74,20,6.46,few clouds
147,Cabo San Lucas,MX,22.8909,-109.9124,66.51,57,40,11.5,scattered clouds
148,Kahului,US,20.8947,-156.47,73.85,92,75,6.91,light rain
149,Vezirkopru,TR,41.1436,35.4547,32.49,80,100,4.23,overcast clouds
150,Esperance,AU,-33.8667,121.9,75.16,51,0,5.44,clear sky
151,Lichinga,MZ,-13.3128,35.2406,66.29,94,75,16.11,broken clouds
152,Novokayakent,RU,42.3937,47.9861,34.72,56,71,3.71,broken clouds
153,Milton,US,34.1322,-84.3007,36.72,70,24,5.99,few clouds
154,Qovlar,AZ,40.948,45.735,29.46,56,33,4.92,scattered clouds
155,Tessalit,ML,20.1986,1.0114,63.43,17,3,12.44,clear sky
156,Gambela,ET,8.25,34.5833,78.33,36,9,2.42,clear sky
157,Kabinda,CD,-6.1333,24.4833,66.51,86,84,3.27,broken clouds
158,Victoria,HK,22.2855,114.1577,71.33,69,99,5.01,overcast clouds
159,Gravdal,NO,68.1214,13.5031,38.48,76,100,19.33,overcast clouds
160,Boshnyakovo,RU,49.6333,142.1667,17.6,82,95,2.64,overcast clouds
161,Kurilsk,RU,45.2333,147.8833,26.22,67,99,8.97,overcast clouds
162,Severo-Kurilsk,RU,50.6789,156.125,20.43,76,98,14.7,overcast clouds
163,Campo Verde,BR,-20.4167,-54.0667,67.42,90,81,4.5,light rain
164,Forio,IT,40.7342,13.8646,54.43,82,54,11.45,broken clouds
165,Sakaiminato,JP,35.55,133.2333,46.38,93,75,3.44,light intensity shower rain
166,Bay Roberts,CA,47.5999,-53.2648,33.66,91,100,5.01,snow
167,Bluff,NZ,-46.6,168.3333,64.53,67,100,6.82,overcast clouds
168,Richards Bay,ZA,-28.783,32.0377,71.64,93,100,5.93,light rain
169,Talnakh,RU,69.4865,88.3972,9.21,98,100,10.87,light snow
170,Nome,US,64.5011,-165.4064,5.68,90,100,9.33,overcast clouds
171,Dalvik,IS,65.9702,-18.5286,30.13,86,93,5.01,overcast clouds
172,Fairbanks,US,64.8378,-147.7164,14.81,80,100,3.44,light snow
173,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,54,0,13.8,clear sky
174,Honiara,SB,-9.4333,159.95,85.41,75,98,1.36,overcast clouds
175,Katsuura,JP,35.1333,140.3,53.55,60,0,5.01,clear sky
176,Kavieng,PG,-2.5744,150.7967,84.38,68,19,7.78,few clouds
177,Ridgecrest,US,35.6225,-117.6709,49.39,16,0,5.75,clear sky
178,Coffs Harbour,AU,-30.3,153.1333,87.13,61,0,17.27,clear sky
179,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,71.38,96,98,1.79,overcast clouds
180,Tura,IN,25.5198,90.2201,68.59,39,15,2.48,few clouds
181,Yuci,CN,37.6803,112.7319,33.55,86,100,2.24,mist
182,Opunake,NZ,-39.4556,173.8583,74.84,63,100,7.76,overcast clouds
183,Aksha,RU,50.2814,113.2867,6.71,70,92,6.64,overcast clouds
184,Fortuna,US,40.5982,-124.1573,52.14,75,0,11.5,clear sky
185,Khromtau,KZ,50.2503,58.4347,7.68,94,100,11.9,overcast clouds
186,Baglan,AF,36.1307,68.7083,48.02,91,100,2.01,overcast clouds
187,Kieta,PG,-6.2167,155.6333,87.19,65,100,2.53,light rain
188,Point Fortin,TT,10.1833,-61.6833,73.89,79,100,11.39,overcast clouds
189,Grand Gaube,MU,-20.0064,57.6608,73.38,77,98,3.0,overcast clouds
190,Beloha,MG,-25.1667,45.05,72.23,88,9,2.95,clear sky
191,Bairiki,KI,1.3292,172.9752,86.0,74,40,10.36,light rain
192,Port Blair,IN,11.6667,92.75,77.04,88,40,2.3,mist
193,Cermik,TR,38.1361,39.4493,24.19,82,38,3.53,scattered clouds
194,Victor Harbor,AU,-35.5667,138.6167,79.68,65,0,10.71,clear sky
195,Caravelas,BR,-17.7125,-39.2481,77.81,85,17,6.06,few clouds
196,Pontian Kecil,MY,1.4801,103.3899,86.32,84,97,7.7,overcast clouds
197,Butaritari,KI,3.0707,172.7902,80.82,76,13,5.46,light rain
198,Pangnirtung,CA,66.1451,-65.7125,-29.2,68,20,0.0,few clouds
199,Szamotuly,PL,52.612,16.5779,45.14,71,100,24.9,overcast clouds
200,Leningradskiy,RU,69.3833,178.4167,-34.64,97,26,2.39,scattered clouds
201,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.64,99,96,1.68,overcast clouds
202,Luanda,AO,-8.8368,13.2343,78.8,89,20,4.61,few clouds
203,Hami,CN,42.8,93.45,29.39,26,0,7.11,clear sky
204,Weinan,CN,34.5036,109.5089,50.23,57,100,11.63,overcast clouds
205,Salaberry-De-Valleyfield,CA,45.2501,-74.1325,19.42,73,100,2.3,light snow
206,Sarandi,BR,-23.4436,-51.8739,67.55,94,0,5.75,clear sky
207,Half Moon Bay,US,37.4636,-122.4286,57.38,52,0,9.22,clear sky
208,Launceston,AU,-41.45,147.1667,77.61,46,40,10.36,scattered clouds
209,Niagara Falls,CA,43.1001,-79.0663,23.65,76,100,14.97,overcast clouds
210,Seddon,AU,-37.8068,144.8916,77.09,56,75,11.5,broken clouds
211,Klaksvik,FO,62.2266,-6.589,34.72,60,85,10.51,overcast clouds
212,Tasiilaq,GL,65.6145,-37.6368,14.16,70,100,9.42,overcast clouds
213,Verkhoyansk,RU,67.5447,133.385,-19.84,94,99,1.3,overcast clouds
214,Suicheng,CN,33.8963,117.9331,46.44,82,100,3.0,overcast clouds
215,Daru,PG,-9.0763,143.2092,85.6,69,76,7.09,moderate rain
216,Santa Cruz,BO,-17.8,-63.1667,69.26,94,75,5.75,broken clouds
217,Gat,IL,31.61,34.7642,54.39,68,0,5.12,clear sky
218,Sitrah,BH,26.1547,50.6206,60.94,57,0,26.46,clear sky
219,Storforshei,NO,66.4043,14.5233,29.98,92,100,1.14,light snow
220,Sibiti,CG,-3.6819,13.3499,70.86,92,100,0.98,overcast clouds
221,La Peca,PE,-5.6111,-78.435,69.22,91,81,3.53,light rain
222,Mayumba,GA,-3.432,10.6554,79.59,85,100,5.26,moderate rain
223,Kassala,SD,15.451,36.4,66.11,73,0,8.05,clear sky
224,Iroquois Falls,CA,48.7669,-80.6831,5.05,88,100,7.99,overcast clouds
225,Alizai,PK,33.5383,70.3462,55.74,38,100,1.95,overcast clouds
226,Saint-Francois,FR,46.4154,3.9054,49.68,100,100,3.44,mist
227,Phibun Mangsahan,TH,15.2447,105.2291,67.98,55,47,1.57,scattered clouds
228,Yellowknife,CA,62.456,-114.3525,-21.48,76,20,5.75,few clouds
229,Nizhnyaya Tavda,RU,57.6731,66.1725,4.51,95,100,6.76,overcast clouds
230,Surman,LY,32.7567,12.5716,53.62,71,6,2.59,clear sky
